id,turns,winner,white_rating,black_rating,opening_ply
TZJHLljE,13,white,1500,1191,5
l1NXvwaE,16,black,1322,1261,4
mIICvQHh,61,white,1496,1500,3
kWKvrqYL,61,white,1439,1454,3
9tXo1AUZ,95,white,1523,1469,5
MsoDV9wj,5,draw,1250,1002,4
qwU9rasv,33,white,1520,1423,10
RVN0N3VK,9,black,1413,2108,5
dwF3DJHO,66,black,1439,1392,6
afoMwnLg,119,white,1381,1209,4
HgKLWPsz,39,white,1381,1272,1
Vf5fKWzI,38,black,1381,1867,9
HRti5mKv,60,black,1381,1936,3
2fEjSei6,31,black,1381,1607,2
u7i6dOaJ,31,white,1094,1141,8
guanvMR5,43,black,1141,1094,7
PmpkWkmm,52,black,1094,1141,8
EwaK0IsE,66,black,1141,1094,8
yrSDozT3,101,black,1094,1300,5
x31mXlvc,25,white,1500,1094,2
oQklnWWp,14,black,1094,1676,6
QFCZwY1f,3,white,1094,1068,2
5cgBygpI,17,white,1500,1094,3
UhXXBOMY,36,white,1307,1106,4
mCij4hBq,13,black,1113,1423,3
ifUMWtVj,69,white,1078,1219,4
Wf0zuLQQ,43,white,1825,1079,8
srz9QfSN,54,black,1328,1038,4
NS6ccssb,53,black,1056,1156,4
M3vpf2Ki,66,black,1077,1148,4
fXhNOnOn,64,black,1358,1036,3
DiCTkvZH,64,black,1200,1002,6
FSkgvV2E,54,white,1203,1019,3
F1mRjzPr,21,black,1019,1500,6
Lq24M4KQ,11,white,1422,975,3
lHNM8cl5,19,black,976,1832,4
GfeEgLV3,28,white,1569,978,10
OR6aULrW,22,black,978,1500,2
Yg006qwa,37,white,1500,978,17
G5S21pXK,34,white,2449,978,3
R9a2DLwe,32,draw,1207,978,10
r4LcBZA7,71,black,1241,978,3
SDDXGw21,30,white,1500,978,3
oqoT4DLS,66,white,2443,978,17
eSociDPG,41,white,1500,978,3
mpzYDfIK,49,white,1500,978,3
27zreJYy,3,black,978,1500,2
IRYkgI8N,7,white,1343,978,3
tLnhk43J,35,white,2436,978,17
iq3Kz06t,41,white,2436,978,4
AAw1TiNN,5,black,978,1500,3
n4vRYUCW,7,white,1500,978,4
KYPdQv8e,53,white,978,1500,2
p30PeXvE,36,black,1500,978,2
PBS4FEld,8,white,1521,1162,2
0lDqWVlz,3,white,1407,1500,3
O3wdIwg7,28,white,1492,1458,5
48ktrxLp,30,black,1414,1442,8
i2GBGO0R,44,black,1457,1294,5
QZSTu1aT,29,white,1525,1466,6
9tU9MM6P,37,black,1207,1579,3
ztpC1S2c,49,white,1567,1573,2
qc8aH5XL,32,black,1578,1605,2
6sTz6t7D,25,white,1939,1581,6
XuyVUkDi,40,black,1618,1568,2
D5Oa4vGO,39,white,1755,1574,2
6QAiH2Yy,57,white,1561,1596,2
l7top9ps,78,black,1500,1554,3
nG3Of11I,61,white,1544,1461,3
cUzM68JF,44,black,1563,1335,3
NZSBXWl2,62,black,1579,1470,2
DHuXFP6C,87,white,1617,1590,2
00R4UOcU,54,black,1207,1588,7
IN15cBnB,54,black,1595,1547,3
WYOts2ME,37,white,1855,1599,5
oWFQ8mnz,50,white,1589,1547,2
i2I8y9Xh,131,white,1571,1728,5
osPCRdxJ,48,white,1720,1579,3
Mi1AmkiI,47,black,1579,2105,5
7kK30TmL,64,black,1768,1560,3
ThCXomTn,61,white,1552,1436,3
4dH72B3d,57,white,1536,1667,5
4jRtIZTy,51,white,1521,1549,2
