Estimativa_1,Confiança_1,Planeamento_1,Exploração_1,Treino_1,Metas_1,Complexidade_1,Estrutura_1,Qualidade_1,Classificação_1,Quiz_1,Estimativa_2,Confiança_2,Planeamento_2,Exploração_2,Treino_2,Metas_2,Complexidade_2,Estrutura_2,Qualidade_2,Classificação_2,Quiz_2,Estimativa_3,Confiança_3,Planeamento_3,Exploração_3,Treino_3,Metas_3,Complexidade_3,Estrutura_3,Qualidade_3,Classificação_3,Quiz_3,Estimativa_4,Confiança_4,Planeamento_4,Exploração_4,Treino_4,Metas_4,Complexidade_4,Estrutura_4,Qualidade_4,Classificação_4,Quiz_4,Estimativa_5,Confiança_5,Planeamento_5,Exploração_5,Treino_,Metas_5,Complexidade_5,Estrutura_5,Qualidade_5,Classificação_5,Quiz_5
10,8,1,9,3,Sim,3,5,5,5,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,7,1,6,3,Sim,3,4,4,4,10,8,7,1,8,1,"Sim, todas",4,3,4,3,9,9,8,1,7,2,"Sim, todas",3,5,5,5,12,9,8,1,7,2,"Sim, todas",4,4,4,4,9,8,8,1,6,2,"Sim, todas",4,5,4,4,10
8,4,1,7,2,Sim,3,5,5,5,4,4,7,1,9,0,"Sim, mas não todas",4,5,5,5,6,9,7,1,8,1,"Sim, todas",4,5,5,5,8,6,3,1,9,0,"Sim, mas não todas",3,5,5,4,4,6,5,1,9,0,"Sim, todas",4,5,5,5,6
10,7,0,8,2,Sim,3,3,5,3,5,11,8,1,8,1,"Sim, todas",4,5,5,4,8,12,8,0,8,2,"Sim, todas",4,5,5,5,10,7,9,1,5,4,"Sim, mas não todas",5,4,5,4,7,11,8,1,9,0,"Sim, todas",5,2,5,2,8
8,6,10,9,5,Sim,3,5,5,5,5,8,8,6,8,5,"Sim, mas não todas",3,5,5,5,9,11,9,9,4,6,"Sim, todas",4,5,5,5,9,3,3,6,7,3,"Sim, mas não todas",3,5,5,5,5,7,5,7,6,4,"Sim, mas não todas",4,5,5,5,5
9,9,2,4,4,Sim,3,5,5,4,8,11,10,1,3,6,"Sim, todas",4,5,5,5,10,10,8,2,6,2,"Sim, todas",4,4,5,4,9,8,8,2,6,2,"Sim, todas",5,5,5,5,5,11,10,1,4,5,"Sim, todas",4,5,5,4,9
7,4,2,7,1,Sim,3,4,5,4,9,9,6,1,6,3,"Sim, todas",4,5,5,4,8,9,7,1,6,3,"Sim, todas",4,5,5,4,11,7,6,1,9,0,"Sim, todas",4,3,4,4,6,9,6,1,5,3,"Sim, todas",4,4,5,4,9
11,8,0,5,5,Sim,3,4,5,3,7,12,9,0,7,3,"Sim, todas",3,3,4,3,11,12,10,0,4,6,"Sim, todas",2,4,5,4,12,12,9,0,5,5,"Sim, mas não todas",4,5,5,5,10,10,8,0,4,6,"Sim, todas",3,4,4,4,9
11,8,1,9,0,Sim,3,5,5,4,11,12,8,1,6,3,"Sim, todas",3,5,5,5,11,10,7,0,9,0,"Sim, todas",3,4,4,4,12,10,5,1,5,4,"Sim, todas",3,5,5,5,8,11,6,0,5,5,"Sim, todas",3,4,5,4,11
10,8,2,5,3,Sim,4,5,5,5,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,8,3,3,4,"Sim, todas",4,5,5,4,10,10,7,1,5,4,"Sim, todas",4,4,4,3,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6
7,5,2,5,3,Sim,2,5,5,5,6,10,8,1,5,3,"Sim, todas",3,5,5,5,8,10,9,2,5,3,"Sim, todas",3,5,5,5,10,6,8,2,5,3,"Sim, todas",3,5,4,5,7,6,6,1,8,1,"Sim, todas",3,5,5,5,8
6,2,1,6,1,"Sim, mas não todas",2,2,5,3,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,8,2,5,3,Sim,4,4,5,5,10,10,7,2,5,3,"Sim, todas",4,4,5,5,8,9,8,2,4,4,"Sim, todas",4,5,5,5,11,6,6,2,3,5,"Sim, mas não todas",4,4,5,5,5,8,8,1,5,4,"Sim, todas",3,4,5,5,8
9,5,3,3,3,Sim,3,5,5,4,10,10,5,3,3,6,"Sim, todas",4,5,5,5,11,10,8,3,3,3,"Sim, todas",3,5,5,5,10,10,9,2,5,2,"Sim, todas",3,5,5,5,7,10,9,1,5,4,"Sim, todas",3,5,5,5,7
8,8,0,7,0,Sim,2,4,4,3,8,7,5,0,7,3,"Sim, mas não todas",4,4,5,4,10,10,8,1,5,4,"Sim, todas",4,4,5,4,11,8,9,1,7,2,"Sim, todas",4,4,4,4,6,10,8,0,8,2,"Sim, todas",3,5,5,4,8
10,7,0,10,0,Sim,3,4,3,3,11,9,10,0,8,2,"Sim, todas",4,4,4,4,9,11,10,0,10,0,"Sim, todas",4,4,4,4,11,5,6,0,4,0,"Sim, mas não todas",4,4,4,4,2,9,9,0,10,0,"Sim, todas",3,4,4,4,9
9,8,3,5,2,Sim,4,4,4,4,4,6,6,3,5,2,"Sim, mas não todas",4,4,4,4,5,6,6,3,5,2,"Sim, mas não todas",3,4,4,4,9,5,6,3,5,2,"Sim, mas não todas",3,4,4,4,1,6,5,4,4,2,"Sim, mas não todas",3,3,4,4,7
12,6,0,10,0,Sim,3,4,5,3,9,12,9,0,6,4,"Sim, todas",3,5,5,5,9,11,9,0,10,0,"Sim, todas",3,4,5,3,11,11,8,0,7,3,"Sim, mas não todas",4,5,5,5,6,12,7,1,8,2,"Sim, todas",3,5,5,5,9
8,8,1,4,2,Sim,1,5,4,3,7,7,7,0,7,2,"Sim, todas",4,5,5,4,8,12,8,2,3,5,"Sim, todas",1,4,5,2,7,7,1,1,2,7,"Sim, todas",2,5,5,5,4,8,8,2,4,4,"Sim, todas",3,4,3,3,6
7,6,0,7,3,"Sim, mas não todas",4,5,4,4,8,7,5,1,8,2,"Sim, mas não todas",4,4,4,4,8,9,8,1,6,3,"Sim, todas",4,5,4,4,11,5,7,1,7,2,"Sim, mas não todas",4,4,5,4,6,6,7,1,6,3,"Sim, mas não todas",4,4,5,4,11
11,8,4,7,3,Sim,1,5,4,3,7,9,8,3,8,2,"Sim, todas",4,5,5,4,6,12,9,1,10,0,"Sim, todas",3,5,4,4,11,10,10,2,8,2,"Sim, todas",4,5,5,5,4,10,8,2,8,2,"Sim, todas",4,5,5,5,5
8,3,2,8,2,Sim,3,5,5,5,7,8,7,1,7,2,"Sim, mas não todas",3,5,5,5,5,5,4,1,6,3,"Sim, todas",4,5,5,5,7,3,6,1,9,0,"Sim, todas",5,3,5,5,4,8,5,2,6,2,"Sim, todas",3,4,5,5,7
10,6,1,6,3,Sim,2,4,4,4,7,10,8,1,6,3,"Sim, mas não todas",3,4,5,4,10,10,8,1,4,5,"Sim, todas",3,4,5,4,10,7,6,1,6,3,"Sim, todas",4,4,5,4,6,9,7,1,5,4,"Sim, todas",4,4,5,5,10
10,6,1,5,4,Sim,3,5,5,5,9,9,6,1,6,4,"Sim, mas não todas",4,5,5,5,9,10,8,1,5,4,"Sim, todas",4,5,5,5,11,9,6,1,5,4,"Sim, todas",4,5,5,5,5,9,7,1,6,3,"Sim, todas",4,5,5,5,7
