Rating,Reviews,Book_title,Number_Of_Pages,Price
4.17,"3,829",The Elements of Style,105,9.323529412
4.01,"1,406","The Information: A History, a Theory, a Flood",527,11
3.33,0,Responsive Web Design Overview For Beginners,50,11.26764706
3.97,"1,658",Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,393,12.87352941
4.06,"1,325",How Google Works,305,13.16470588
3.84,117,The Meme Machine,288,14.18823529
4.09,"5,938",Start with Why: How Great Leaders Inspire Everyone to Take Action,256,14.23235294
4.15,"1,817",Algorithms to Live By: The Computer Science of Human Decisions,368,14.36470588
3.87,"2,093",Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,259,14.50294118
4.62,0,ZX Spectrum Games Code Club: Twenty fun games to code and learn,128,14.64117647
4.03,-160,Sync: The Emerging Science of Spontaneous Order,352,15.22941176
3.78,481,The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,352,15.22941176
3.73,33,Ship It!,200,15.32647059
3.87,"1,255","Superintelligence: Paths, Dangers, Strategies",328,15.68235294
3.87,593,"The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",240,15.88529412
3.95,417,Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground,288,16.07352941
3.85,80,The Quark and the Jaguar: Adventures in the Simple and the Complex,392,16.36764706
3.94,279,"Linked: How Everything Is Connected to Everything Else and What It Means for Business, Science, and Everyday Life",304,16.85294118
3.75,370,Our Final Invention: Artificial Intelligence and the End of the Human Era,336,1116.89117647
4.1,"2,092","The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",542,17.22941176
4.22,27,Debugging: The 9 Indispensable Rules for Finding Even the Most Elusive Software and Hardware Problems,192,17.49117647
3.71,676,"Big Data: A Revolution That Will Transform How We Live, Work, and Think",242,17.62058824
4.21,16,Help Your Kids with Computer Coding,224,18.93823529
4.28,"1,268",The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,412,19.13235294
3.2,0,Game Programming Golden Rules,318,19.15294118
3.67,19,The Architecture of Open Source Applications,432,19.24705882
3.97,491,How to Create a Mind: The Secret of Human Thought Revealed,336,19.85588235
3.98,48,The Hidden Connections: A Science for Sustainable Living,320,20.05294118
3.96,1,Computability and Unsolvability,288,20.4
4.37,1,Adventures in Minecraft,320,21.03823529
4.25,16,Coding Games in Scratch,224,21.08823529
4.32,39,Expert C Programming: Deep C Secrets,384,21.09705882
4.01,356,Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,448,21.12647059
4.13,86,The Cosmic Landscape: String Theory and the Illusion of Intelligent Design,416,21.81470588
4.15,295,What Is Life? with Mind and Matter and Autobiographical Sketches,184,21.92352941
3.91,57,Six Degrees: The Science of a Connected Age,384,21.96764706
3.86,124,Nine Algorithms That Changed the Future: The Ingenious Ideas That Drive Today's Computers,219,22.40882353
4.03,91,The Society of Mind,336,22.52058824
4.23,530,JavaScript: The Good Parts,153,22.69411765
4.04,61,The Pattern on the Stone: The Simple Ideas that Make Computers Work,176,22.82647059
4.09,336,Accelerate: Building and Scaling High-Performing Technology Organizations,257,23.05
4.33,0,Beginners Guide On PHP Programming: Quick And Easy Guide To Learn PHP With My-SQL,410,23.22647059
4.09,4,The Connection Machine,190,23.23529412
3.93,115,Agile Retrospectives: Making Good Teams Great,170,23.85
4,0,Python Programming Books Set: Python Programming for Beginners & Complete Guide for Python Programming,446,23.85882353
4.27,"2,629","The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",345,24.25882353
3.84,108,Agile Web Development with Rails: A Pragmatic Guide,558,24.51470588
4.2,120,Scrum and XP from the Trenches,140,24.72352941
