id,title,is_paid,num_subscribers,avg_rating,num_reviews,num_published_lectures,num_published_practice_tests,discount_price__amount,price_detail__amount,price_detail__currency
762616,The Complete SQL Bootcamp 2020: Go from Zero to Hero,TRUE,295509,4.66019,78006,84,0,455.0,8640.0,INR
937678,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,TRUE,209070,4.58956,54581,78,0,455.0,8640.0,INR
1361790,PMP Exam Prep Seminar -  PMBOK Guide 6,TRUE,155282,4.59491,52653,292,2,455.0,8640.0,INR
648826,The Complete Financial Analyst Course 2020,TRUE,245860,4.54407,46447,338,0,455.0,8640.0,INR
637930,An Entire MBA in 1 Course:Award Winning Business School Prof,TRUE,374836,4.4708,41630,83,0,455.0,8640.0,INR
1208634,Microsoft Power BI - A Complete Introduction [2020 EDITION],TRUE,124180,4.56228,38093,275,0,455.0,8640.0,INR
864146,Agile Crash Course: Agile Project Management; Agile Delivery,TRUE,96207,4.32383,30470,23,0,455.0,8640.0,INR
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,TRUE,127680,4.54034,28665,275,0,455.0,8640.0,INR
673654,Become a Product Manager | Learn the Skills & Get the Job,TRUE,112572,4.50386,27408,144,0,455.0,8640.0,INR
1653432,The Business Intelligence Analyst Course 2020,TRUE,115269,4.50067,23906,413,0,455.0,8640.0,INR
1570206,Microsoft Power BI - Up & Running With Power BI Desktop,TRUE,86715,4.61951,23580,117,0,455.0,8640.0,INR
751792,Business Analysis Fundamentals,TRUE,82015,4.49968,23326,67,0,455.0,8640.0,INR
613808,Leadership: Practical Leadership Skills,TRUE,68148,4.5687,22595,43,0,455.0,5760.0,INR
1288044,The Complete Foundation Stock Trading Course,TRUE,76812,4.53878,21537,41,0,455.0,8640.0,INR
1405632,SQL - MySQL for Data Analytics and Business Intelligence,TRUE,78968,4.57035,21436,286,0,455.0,8640.0,INR
1202988,The Complete Financial Analyst Training & Investing Course,TRUE,182002,4.49571,21421,225,0,455.0,8640.0,INR
996228,The Ultimate Hands-On Hadoop - Tame your Big Data!,TRUE,114945,4.51251,21394,101,0,455.0,8640.0,INR
965832,The Complete Investment Banking Course 2020,TRUE,88468,4.49804,19970,160,0,455.0,8640.0,INR
560388,How to Start an Amazon FBA Store on a Tight Budget,TRUE,72442,4.59922,19328,103,0,455.0,8640.0,INR
980086,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),TRUE,239309,4.47381,18322,47,0,455.0,1280.0,INR
1035472,Python for Finance: Investment Fundamentals & Data Analytics,TRUE,83072,4.51891,17617,111,0,455.0,8640.0,INR
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,TRUE,67329,4.56473,17016,57,0,455.0,8640.0,INR
888716,"Introduction to Finance, Accounting, Modeling and Valuation",TRUE,140676,4.4758,17013,61,0,500.0,9280.0,INR
946654,Write Better Emails: Tactics for Smarter Team Communication,TRUE,50037,4.42501,15956,23,0,455.0,2560.0,INR
946742,Beginning Project Management: Project Management Level One,TRUE,48055,4.43303,14255,44,0,455.0,4800.0,INR
1153034,The Complete Shopify Aliexpress Dropship course,TRUE,74011,4.62899,14006,88,0,455.0,8640.0,INR
196152,Writing With Flair: How To Become An Exceptional Writer,TRUE,102727,4.55248,12478,78,0,455.0,8640.0,INR
2013892,Agile Fundamentals: Including Scrum and Kanban - 2020,TRUE,49877,4.40093,11977,88,0,455.0,8640.0,INR
203556,SQL for Data Analysis: Weekender Crash Course for Beginners,TRUE,59141,4.34305,11660,39,0,455.0,8640.0,INR
563478,Sales Training: Practical Sales Techniques,TRUE,38698,4.57554,11529,31,0,455.0,6720.0,INR
736456,Ninja Writing: The Four Levels Of Writing Mastery,TRUE,85042,4.42296,11007,49,0,455.0,8640.0,INR
946194,Tableau 20 Advanced Training: Master Tableau in Data Science,TRUE,63084,4.63452,10979,74,0,455.0,8640.0,INR
536706,"Tableau for Beginners: Get CA Certified, Grow Your Career",TRUE,39873,4.46625,10725,124,0,455.0,2560.0,INR
139166,Conscious Listening,TRUE,27681,4.47545,10671,14,0,,2240.0,INR
552372,Email Etiquette: Write More Effective Emails At Work,TRUE,33319,4.38382,10470,29,0,455.0,1920.0,INR
1098006,The Complete Presentation and Public Speaking/Speech Course,TRUE,158654,4.46745,10288,206,0,540.0,10240.0,INR
1411586,"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",TRUE,29061,4.56978,10102,284,2,455.0,8640.0,INR
1340842,Robotic Process Automation - RPA Overview,TRUE,28937,4.36402,10059,23,0,455.0,8640.0,INR
1007240,Power BI A-Z: Hands-On Power BI Training For Data Science!,TRUE,72406,4.4679,9631,44,0,455.0,8640.0,INR
2246852,Emotional Intelligence at Work: Learn from Your Emotions,TRUE,20978,4.45476,9594,21,1,,3200.0,INR
139200,Powerful speaking,TRUE,34296,4.4375,9520,19,0,,2240.0,INR
419658,eBay Drop Shipping Guide with No Inventory - Work From Home,TRUE,39816,4.41,9195,86,0,455.0,8640.0,INR
1802404,The Complete Communication Skills Master Class for Life,TRUE,62384,4.35213,9196,600,0,546.0,10240.0,INR
48841,Accounting in 60 Minutes - A Brief Introduction,TRUE,79955,4.50237,9107,16,0,533.0,2240.0,INR
1594488,Blockchain A-Z™: Learn How To Build Your First Blockchain,TRUE,47394,4.58716,9081,97,0,455.0,8640.0,INR
687720,Six Sigma White Belt,TRUE,32818,4.41307,8925,15,0,455.0,2560.0,INR
536482,Security Awareness Training,TRUE,16511,4.51703,8915,19,0,455.0,1280.0,INR
148902,Fundamentals of Analyzing Real Estate Investments,TRUE,64080,4.45989,8591,152,0,481.0,8960.0,INR
1355610,Communication Fundamentals: How To Communicate Better,TRUE,21305,4.38921,8122,38,0,455.0,8640.0,INR
1269254,MBA in a Box: Business Lessons from a CEO,TRUE,44484,4.53584,7815,186,0,455.0,8640.0,INR
555696,PMP EXAM PREP-Project Management Professional FULL TRAINING,TRUE,39537,4.44398,7693,305,2,455.0,8640.0,INR
1346444,UiPath - Level 1 Robotic Process Automation,TRUE,29095,4.42667,7641,87,0,488.0,9280.0,INR
1121520,The Complete Splunk Beginner Course,TRUE,33408,4.44969,7448,35,0,455.0,1920.0,INR
661030,Build a Dropshipping Empire From Scratch [Proven Blueprint],TRUE,36326,4.3702,7362,88,0,455.0,8640.0,INR
110240,How to Manage & Influence Your Virtual Team,TRUE,22106,4.42781,7246,38,0,455.0,8640.0,INR
1596054,PMI-ACP Exam Prep for PMBOK 6,TRUE,25057,4.56653,7186,222,1,455.0,8640.0,INR
1030316,Business Model Innovation: Differentiate & Grow Your Company,TRUE,22558,4.54002,6797,68,0,455.0,8640.0,INR
214008,Fundamentals of Business Analysis,TRUE,28717,4.44174,6623,68,0,455.0,8640.0,INR
468172,Complete Introduction to Microsoft Power BI [2020 Edition],TRUE,26929,4.50915,6471,81,0,455.0,6400.0,INR
672290,Brilliant Customer Service: How to Impress your Customers!,TRUE,12728,4.34038,6401,6,0,455.0,1280.0,INR
1355158,"Creativity, Design Thinking, and Innovation for Business",TRUE,16778,4.32706,6325,42,0,455.0,8640.0,INR
640100,Accounting & Financial Statement Analysis: Complete Training,TRUE,37953,4.56706,6195,54,0,455.0,8640.0,INR
1037646,Consulting Approach to Problem Solving,TRUE,17598,4.35379,6134,18,0,455.0,6400.0,INR
1245422,Master SQL For Data Science,TRUE,25039,4.62258,6088,48,0,455.0,8640.0,INR
1758098,How to tell a story with data,TRUE,15059,4.36463,6075,31,0,455.0,1280.0,INR
1587644,Advanced Stock Trading Course + Strategies,TRUE,36650,4.54274,5893,43,0,455.0,8640.0,INR
613946,Google Analytics for Beginners | Hands-On Training Course,TRUE,26292,4.44952,5761,30,0,455.0,8640.0,INR
1659676,The Complete Digital Marketing Guide - 18 Courses in 1,TRUE,25820,4.50586,5763,637,0,455.0,8640.0,INR
